2020-04-19 18:04:398 INFO  AccountPage :96 - clicking on home button tab : [[ChromeDriver: chrome on WINDOWS (0b94ddcf9cfa0af001c65213b04b538d)] -> xpath: //button[@class='btn home']]
2020-04-19 18:04:578 INFO  HomePage :51 - clicking on bank manager login button : Proxy element for: DefaultElementLocator 'By.xpath: //button[contains(text(),'Bank Manager Login')]'
2020-04-19 18:04:802 INFO  BankManagerLoginPage :51 - clicking on customer tab : [[ChromeDriver: chrome on WINDOWS (0b94ddcf9cfa0af001c65213b04b538d)] -> xpath: //button[contains(text(),'Customers')]]
2020-04-19 18:04:481 INFO  CustomerPage :30 - search customer Tiger[[ChromeDriver: chrome on WINDOWS (0b94ddcf9cfa0af001c65213b04b538d)] -> xpath: //input[@placeholder='Search Customer']]
2020-04-19 18:04:769 INFO  CustomerPage :36 - clicking on delete customer tab :Proxy element for: DefaultElementLocator 'By.xpath: //tr[@class='ng-scope']//td//button'
2020-04-19 18:04:776 INFO  BrowserSelector :19 - Launching Chrome Browser
2020-04-19 18:04:268 INFO  HomePage :51 - clicking on bank manager login button : [[ChromeDriver: chrome on WINDOWS (9599be0cbbab40208e8b77b071e5e6f5)] -> xpath: //button[contains(text(),'Bank Manager Login')]]
2020-04-19 18:04:615 INFO  BankManagerLoginPage :39 - clicking on add customer tab : [[ChromeDriver: chrome on WINDOWS (9599be0cbbab40208e8b77b071e5e6f5)] -> xpath: //button[contains(text(),'Add Customer')]]
2020-04-19 18:04:57 INFO  AddCustomerPage :38 - entering firstname on firstname field : Tiger[[ChromeDriver: chrome on WINDOWS (9599be0cbbab40208e8b77b071e5e6f5)] -> xpath: //input[@placeholder='First Name']]
2020-04-19 18:04:273 INFO  AddCustomerPage :45 - entering lastname on lastname field : Foster[[ChromeDriver: chrome on WINDOWS (9599be0cbbab40208e8b77b071e5e6f5)] -> xpath: //input[@placeholder='Last Name']]
2020-04-19 18:04:500 INFO  AddCustomerPage :51 - entering postcode on postcode field : HA2 6JT[[ChromeDriver: chrome on WINDOWS (9599be0cbbab40208e8b77b071e5e6f5)] -> xpath: //input[@placeholder='Post Code']]
2020-04-19 18:04:931 INFO  BankManagerLoginPage :56 - clicking on home tab : [[ChromeDriver: chrome on WINDOWS (9599be0cbbab40208e8b77b071e5e6f5)] -> xpath: //button[@class='btn home']]
2020-04-19 18:04:611 INFO  HomePage :51 - clicking on bank manager login button : Proxy element for: DefaultElementLocator 'By.xpath: //button[contains(text(),'Bank Manager Login')]'
2020-04-19 18:04:750 INFO  BankManagerLoginPage :45 - clicking on open account tab : [[ChromeDriver: chrome on WINDOWS (9599be0cbbab40208e8b77b071e5e6f5)] -> xpath: //button[contains(text(),'Open Account')]]
2020-04-19 18:04:434 INFO  OpenAccountPage :33 - selecting customer name : Tiger Foster[[ChromeDriver: chrome on WINDOWS (9599be0cbbab40208e8b77b071e5e6f5)] -> xpath: //select[@id='userSelect']]
2020-04-19 18:04:815 INFO  OpenAccountPage :39 - selecting currency : Pound[[ChromeDriver: chrome on WINDOWS (9599be0cbbab40208e8b77b071e5e6f5)] -> xpath: //select[@id='currency']]
2020-04-19 18:04:229 INFO  BankManagerLoginPage :56 - clicking on home tab : [[ChromeDriver: chrome on WINDOWS (9599be0cbbab40208e8b77b071e5e6f5)] -> xpath: //button[@class='btn home']]
2020-04-19 18:04:769 INFO  HomePage :42 - clicking on customer login button : [[ChromeDriver: chrome on WINDOWS (9599be0cbbab40208e8b77b071e5e6f5)] -> xpath: //button[contains(text(),'Customer Login')]]
2020-04-19 18:04:171 INFO  CustomerLoginPage :32 - selecting customer name : Tiger Foster[[ChromeDriver: chrome on WINDOWS (9599be0cbbab40208e8b77b071e5e6f5)] -> id: userSelect]
2020-04-19 18:04:356 INFO  CustomerLoginPage :38 - clicking on  login button : [[ChromeDriver: chrome on WINDOWS (9599be0cbbab40208e8b77b071e5e6f5)] -> xpath: //button[@class='btn btn-default']]
2020-04-19 18:04:757 INFO  AccountPage :45 - clicking on logout button : Proxy element for: DefaultElementLocator 'By.xpath: //button[@class='btn logout']'
2020-04-19 18:04:06 INFO  BankManagerLoginPage :56 - clicking on home tab : [[ChromeDriver: chrome on WINDOWS (9599be0cbbab40208e8b77b071e5e6f5)] -> xpath: //button[@class='btn home']]
2020-04-19 18:04:646 INFO  HomePage :42 - clicking on customer login button : Proxy element for: DefaultElementLocator 'By.xpath: //button[contains(text(),'Customer Login')]'
2020-04-19 18:04:955 INFO  CustomerLoginPage :32 - selecting customer name : Tiger Foster[[ChromeDriver: chrome on WINDOWS (9599be0cbbab40208e8b77b071e5e6f5)] -> id: userSelect]
2020-04-19 18:04:176 INFO  CustomerLoginPage :38 - clicking on  login button : Proxy element for: DefaultElementLocator 'By.xpath: //button[@class='btn btn-default']'
2020-04-19 18:04:330 INFO  AccountPage :66 - clicking on deposit tab : [[ChromeDriver: chrome on WINDOWS (9599be0cbbab40208e8b77b071e5e6f5)] -> xpath: //button[contains(text(),'Deposit')]]
2020-04-19 18:04:237 INFO  AccountPage :78 - entering amount in the amount field : 100[[ChromeDriver: chrome on WINDOWS (9599be0cbbab40208e8b77b071e5e6f5)] -> xpath: //input[@placeholder='amount']]
2020-04-19 18:04:475 INFO  AccountPage :84 - clicking on depositwithdrawl button [[ChromeDriver: chrome on WINDOWS (9599be0cbbab40208e8b77b071e5e6f5)] -> xpath: //button[@class='btn btn-default']]
2020-04-19 18:04:511 INFO  AccountPage :89 - Getting error message : [[ChromeDriver: chrome on WINDOWS (9599be0cbbab40208e8b77b071e5e6f5)] -> xpath: //span[@class='error ng-binding']]
2020-04-19 18:04:730 INFO  AccountPage :96 - clicking on home button tab : [[ChromeDriver: chrome on WINDOWS (9599be0cbbab40208e8b77b071e5e6f5)] -> xpath: //button[@class='btn home']]
2020-04-19 18:04:310 INFO  HomePage :42 - clicking on customer login button : Proxy element for: DefaultElementLocator 'By.xpath: //button[contains(text(),'Customer Login')]'
2020-04-19 18:04:518 INFO  CustomerLoginPage :32 - selecting customer name : Tiger Foster[[ChromeDriver: chrome on WINDOWS (9599be0cbbab40208e8b77b071e5e6f5)] -> id: userSelect]
2020-04-19 18:04:807 INFO  CustomerLoginPage :38 - clicking on  login button : Proxy element for: DefaultElementLocator 'By.xpath: //button[@class='btn btn-default']'
2020-04-19 18:04:942 INFO  AccountPage :72 - clicking on withdrawl tab : [[ChromeDriver: chrome on WINDOWS (9599be0cbbab40208e8b77b071e5e6f5)] -> xpath: //button[contains(text(),'Withdrawl')]]
2020-04-19 18:04:616 INFO  AccountPage :78 - entering amount in the amount field : 50[[ChromeDriver: chrome on WINDOWS (9599be0cbbab40208e8b77b071e5e6f5)] -> xpath: //input[@placeholder='amount']]
2020-04-19 18:04:772 INFO  AccountPage :84 - clicking on depositwithdrawl button [[ChromeDriver: chrome on WINDOWS (9599be0cbbab40208e8b77b071e5e6f5)] -> xpath: //button[@class='btn btn-default']]
2020-04-19 18:04:813 INFO  AccountPage :89 - Getting error message : [[ChromeDriver: chrome on WINDOWS (9599be0cbbab40208e8b77b071e5e6f5)] -> xpath: //span[@class='error ng-binding']]
2020-04-19 18:04:36 INFO  AccountPage :96 - clicking on home button tab : [[ChromeDriver: chrome on WINDOWS (9599be0cbbab40208e8b77b071e5e6f5)] -> xpath: //button[@class='btn home']]
2020-04-19 18:04:620 INFO  HomePage :51 - clicking on bank manager login button : Proxy element for: DefaultElementLocator 'By.xpath: //button[contains(text(),'Bank Manager Login')]'
2020-04-19 18:04:793 INFO  BankManagerLoginPage :51 - clicking on customer tab : [[ChromeDriver: chrome on WINDOWS (9599be0cbbab40208e8b77b071e5e6f5)] -> xpath: //button[contains(text(),'Customers')]]
2020-04-19 18:04:445 INFO  CustomerPage :30 - search customer Tiger[[ChromeDriver: chrome on WINDOWS (9599be0cbbab40208e8b77b071e5e6f5)] -> xpath: //input[@placeholder='Search Customer']]
